IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Facility Optimization - Land and Consolidation of Osborne Station,"With this capital funding the Winnipeg Fire Paramedic Service seeks to maximize the efficiency of the station network. This is achieved through relocations, replacements, and major enhancements to stations that help reduce costs but maintain the desired level of response. This project will identify land and the future consolidation of the Osborne Street stations in the Osborne Community area.",Fire Paramedic Service,Fire & Rescue Response,Project,0,1,5,"A Livable, Safe, Healthy, Happy City",Renew,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.1438843 49.87783749),0,0,2027,,,N,7,,,,,,,
2024,Shoal Lake Aqueduct Intake Facility Rehabilitation,"The Shoal Lake Aqueduct, which has been in continuous service since 1919, is the sole water supply infrastructure for the City. The Shoal Lake Intake Structure is the transition headworks to receive water from Shoal Lake and to control the water flow into the aqueduct. Given the critical nature of the intake structure and its associated venturi structure to the safe operation of the aqueduct and the City's water supply, a condition assessment was undertaken and identified a number of rehabilitation and replacement requirements. This included the replacement and refurbishment of various mechanical components that date back to the original construction, the replacement of the maintenance/communication facility, as well as upgrades and improvements to the existing infrastructure. The recommended improvements will be completed in phases on a risk-based priority",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,11,,,,,,,
2023,Route 90 Improvements - Taylor to Ness,text,Public Works,Roads - Regional,Project,558058000,0,5,City Building,Growth,Mathers,River Heights - Fort Garry,POINT (-97.2067161202326 49.8518082577844),0,18469000,2023,Growth-supportive infrastructure,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,980000,0,2029,,,N,4,,,,,,,
2024,North Garage Replacement,"The proposed project would see the replacement of Winnipeg Transit's existing North Garage currently located at 1520 Main Street at a new location. The project includes the development of an energy efficient bus storage and light maintenance facility with increased bus capacity, designed to facilitate the transition to an electric bus fleet.",Winnipeg Transit,Public Transit,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Jefferson,Mynarski,POINT (-97.12461404 49.93030162),0,0,2026,,,N,7,,,,,,,
2024,Training Centre (formerly McPhilips Academy),Expansion of academy to provide additional space to deliver required level of services,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Leila North,Old Kildonan,POINT (-97.14325453 49.96114652),0,0,2030,,,N,6,,,,,,,
2023,Local Improvements - Ongoing Program,text,Assessment & Taxation,Economic development,Program,24000000,0,,City Building,Operations & Maintenance,,,,100000,2300000,2025,,,,,,,,,,,
2023,St Mary's Rd widening - St Anne's to Marion,text,Public Works,Roads - Regional,Project,68326000,0,5,Environmental Resilience,Upgrade,Norwood West,St. Boniface,POINT (-97.11774038 49.87495142),0,36938000,2029,,,,,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,1737705000,1,,Leadership & Good Governance,Renew,,,,194923000,0,2032,,,,,,,,,,,
2023,Traffic Signals Bases Replacements,text,Public Works,Roads - Regional,Program,12500000,1,,Good Health & Well-Being,Renew,,,,2500000,0,2028,,,,,,,,,,,
2024,Wastewater Services Facilities Plan,"The Wastewater Services Facilities Plan will evaluate options to consolidate or centralize various buildings used by the Wastewater Services Division, including mechanical and maintenance shops, storage facilities, and offices. These facilities are currently spread out over multiple sites.",Water and Waste,Wastewater,Project,20650000,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,650000,0,2024,,,N,10,,,,,,,
2024,Local Improvements - Ongoing Program,Local Improvement capital projects are those which are financed partly by a direct levy on the properties benefited. The program is governed by Local Improvements By-law No. 98/72 and is subject to advertising and subsequent approval by the majority of ratepayers involved. The types of expenditure generally falling within this category are: paving of local streets and lanes; sidewalk and boulevard construction; installation of new watermains and sewers; ornamental street lighting and lane lighting.,Assessment & Taxation,Assessment & Taxation,Program,0,1,,A City that Works for Residents through Improved Customer Service,Operations & Maintenance,,,,500000,500000,2032,,,N,2,,,,,,,
2023,Indoor Aquatics and Rec Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,68630000,0,,Leadership & Good Governance,Renew,,,,0,11255000,2025,,,,,,,,,,,
2024,Brady Road Resource Management Facility Alternative Energy Project,This project will implement an alternative energy program to convert landfill gas to either electricity or natural gas.,Water and Waste,Solid Waste Disposal,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2030,,,N,5,,,,,,,
2024,"Recreational Facility Safety, Security & Accessibility Improvements Program","This capital program addresses workplace and public safety, health, and accessibility issues. Recreation and aquatic facility amenities must be refurbished to meet public health and safety standards, regulations, and to enhance facilities to meet the needs of the public.",Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,1026000,0,2032,,,N,23,,,,,,,
2023,Network Products Evergreen,text,Innovation and Technology,Multiple Organizational Support Services,Program,7622000,1,,Economic Prosperity,Renew,,,,1601000,0,2025,,,,,,,,,,,
2023,River Crossings Monitoring and Rehabilitation,text,Water and Waste,Wastewater,Program,10730000,1,,Environmental Resilience,Renew,,,,5000000,0,2029,,,,,,,,,,,
2024,Southwest Interceptor River Crossing,"This project includes the conceptual, preliminary and detailed design stages to upgrade the regional sewer system servicing the southwest quadrant of the City of Winnipeg.",Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,30000000,0,2028,Growth-enabling infrastructure,,N,16,,,,,,,
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,0,1,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),2817000,0,2027,,,N,1,,,,,,,
2023,Transit Building Replacement / Refurbishment,text,Winnipeg Transit,Public Transit,Program,13436000,1,,City Building,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),600000,0,2032,,,,,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2029,,,N,9,,,,,,,
2023,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,text,Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,1103849000,0,,Good Health & Well-Being,Renew,,,,723000,76624000,2032,,,,,,,,,,,
2023,Arlington Bridge Rehabilitation,text,Public Works,Bridges - Regional,Project,63850000,1,5,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2024,,,,,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,1737705000,1,,Leadership & Good Governance,Renew,,,,183681000,0,2029,,,,,,,,,,,
2024,Henderson Hwy N of Gilmore to City Limit,"This project involves urbanization of the roadway, provision of pedestrian and cycling accommodation, introduction of a median and associated access management. Replacement of the existing box culvert at the Bunn's Creek crossing with a water control chamber may be considered.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Growth,River East,North Kildonan,POINT (-97.08013119 49.95064192),0,15106000,2030,,,N,9,,,,,,,
2024,Pumping Stations and Reservoirs Structural Upgrades: General,"The McPhillips, Wilkes and MacLean reservoirs provide balancing storage to meet fluctuating daily water demands; the McPhillips, Hurst, and MacLean pumping stations provide the final pumping to deliver water to the water utility customers. These pump stations and reservoirs were constructed in the early 1960s. It is anticipated that the building structures will require upgrading to ensure the uninterrupted operation of these pumping facilities.  Condition assessments will be undertaken at the reservoirs to identify any repairs needed to ensure the reservoirs remain operational for the next 50 years. Additional investments in the pumping stations and reservoirs will be put forward as a result of the condition assessments.",Water and Waste,Water,Program,8000000,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2024,,,N,9,,,,,,,
2023,Customer Billing and Work Management Systems Upgrades Program,text,Water and Waste,Wastewater,Program,9080000,1,,Environmental Resilience,Upgrade,,,,275000,0,2029,,,,,,,,,,,
2023,River Crossings Monitoring and Rehabilitation,text,Water and Waste,Wastewater,Program,10730000,1,,Environmental Resilience,Renew,,,,0,0,2027,,,,,,,,,,,
2023,Parkland Acquisition,text,Public Works,Parks - Regional,Program,8300000,0,,Good Health & Well-Being,Growth,,,,0,2000000,2032,,,,,,,,,,,
2023,Police Headquarters Information System Upgrades,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,5350000,1,4,Leadership & Good Governance,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),2435000,0,2026,,,,,,,,,,,
2024,Water Main Renewals,"This is a continuing program to replace and/or rehabilitate deteriorating water main infrastructure. Funding is used for water main replacement, cathodic protection, valve and hydrant replacement/rehabilitation, correction of dead end mains, upgrading of substandard mains, water system studies, assessments, development of design standards and replacement of problem water services within the City right-of-way, and hydraulic improvements for fire protection purposes. Funding is also used for integrated right-of-way renewal programs coordinated with the Public Works Department.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,22750000,0,2027,,,N,12,,,,,,,
2024,"Water Supply, Treatment, and Distribution Electrical Upgrades","Maintaining the condition and performance of electrical equipment is vital to the safe and continuous supply, treatment, and distribution of drinking water for the City of Winnipeg. Electrical inspections will be undertaken in a phased approach at the City's various water facilities to test and assess the condition and performance of critical electrical equipment. Extensive repairs or upgrades that are identified in the inspections will be subject to future capital requests.",Water and Waste,Water,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2028,,,N,13,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,7000000,0,2030,,,N,19,,,,,,,
2023,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),text,Public Works,Bridges - Regional,Project,37742000,1,5,Good Health & Well-Being,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),20000000,0,2026,,,,,,,,,,,
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,750000,1050000,2026,,,N,3,,,,,,,
2024,Transition to Zero Emission Buses,"This multi-year program is for the transition from diesel to zero emission buses plus the associated charging/fueling infrastructure required to support a full transition to a zero emission fleet. Future bus and infrastructure purchases are planned based on needs, funding, and climate goals.",Winnipeg Transit,Public Transit,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,35000000,67231000,2032,,,N,9,,,,,,,
2023,CIWMS - Source Separated Organics,text,Water and Waste,Solid Waste,Project,102000000,0,5,Environmental Resilience,Growth,,,,0,80000000,2024,,,,,,,,,,,
2024,Pembina Hwy Rehabilitation at Abinojii Mikanah,"The overpass on Pembina Highway over Abinojii Mikanah requires bridge deck rehabilitation, including reconstruction of the exit loop ramps.",Public Works,Bridges - Regional,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,Montcalm,Waverley West,POINT (-97.15426573 49.81776013),0,0,2026,,,Y,6,,,,,,,
2023,Community Centre Investment Fund (CCIF),text,Community Services,Recreation,Program,50000000,0,,Good Health & Well-Being,Upgrade,,,,0,10000000,2024,,,,,,,,,,,
2023,Communication Sites - P25 Sub Gear/Infrastructure,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,25530000,0,3,City Building,Renew,,,,4500000,6042000,2029,,,,,,,,,,,
2023,Station Capital Maintenance,text,Fire Paramedic Service,Fire & Medical Response,Program,43195000,0,,Economic Prosperity,Operations & Maintenance,,,,2281000,1000000,2027,,,,,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,339700000,0,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,68200000,2026,,,,,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,0,0,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2032,,,N,4,,,,,,,
2023,Pedestrian and Cycling Program,text,Public Works,Active Transportation,Program,203950000,0,,Good Health & Well-Being,Upgrade,,,,1651000,16673000,2024,,,,,,,,,,,
2024,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),This project includes major rehabilitation of the Lagimodiere Twin Overpasses over Concordia Avenue and the Canadian Pacific Railway (CPR) Keewatin rail lines. Improvements to traffic capacity and roadside safety will be determined as part of a preliminary design study.,Public Works,Bridges - Regional,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),0,0,2032,,,N,5,,,,,,,
2024,Neighbourhood Centres Capital Renewal Program,"The neighbourhood recreation and leisure centres capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 neighbourhood recreation and leisure centres owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects and other interior improvements. * Broadway Neighbourhood Centre, East End Cultural & Leisure Centre now operating as a community care site by Mamawi",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,1780000,2026,,,N,4,,,,,,,
2023,Louise Bridge Replacement,text,Public Works,Bridges - Regional,Project,160699000,0,5,City Building,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,56906000,2027,,,,,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,0,2031,,,Y,6,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,22982000,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2024,,,N,9,,,,,,,
2023,Sidewalk Renewals on Local Streets - Various locations,text,Public Works,Active Transportation,Program,28650000,0,,Good Health & Well-Being,Renew,,,,0,2865000,2030,,,,,,,,,,,
2024,Roof and Building Envelope Systems Refurbishment Program,"This program is for planned roof and building envelope system refurbishment for various buildings in Municipal Accommodations' portfolio with systems at the end of their useful life cycle and that are failing or have failed.  The roofing system is a key structural component of building envelope. It provides stability and integrity to the building structure. Prevents water and moisture from infiltrating into the building and as such protects the building structure, components, systems, furniture, etc. from water damage. Properly functioning roofing system is essential for increasing energy efficiency. A structurally sound roofing system ensures proper ventilation and sufficient insulation and prevents undesired air leaks. Finally, a roofing system free of leaks, sags, moss and algae substantially increases value and longevity of any building asset.",Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2032,,,N,2,,,,,,,
2024,Relocation of Fleet head office and Tecumseh Shops,"Move the WFMA operations of head office, repair facility, and manufacturing facility from 195-215 Tecumseh/770 Ross to a new location.",Public Works,Multiple Organizational Support Services,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Alexander,Point Douglas,POINT (-97.1607308148397 49.9074105448269),0,0,2028,,,N,6,,,,,,,
2024,Network Products Evergreen,Network Products Evergreen is the implementation and enhancement of the backbone network infrastructure which connects the computers in civic departments. This is a high speed infrastructure to enable the sharing and distribution of corporate information across departments in support of organizational business requirements.,Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,350000,754000,2029,,,N,1,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2027,,,N,4,,,,,,,
2023,Process Control System Master Plan and Upgrade,text,Water and Waste,Wastewater,Program,15000000,1,,Environmental Resilience,Upgrade,,,,750000,0,2023,,,,,,,,,,,
2024,Provencher Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will replace the end-of-life asset and include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Central St. Boniface,St. Boniface,POINT (-97.117877 49.891049),0,0,2028,,,Y,15,,,,,,,
2024,NG911,"CRTC NG9-1-1 standards require upgrades to call handling systems to ensure 9-1-1 data can be appropriately handled. It also requires primary and back-up PSAPS centres have physical and electronic security measures in place. These funds will be used to construct a 9-1-1 back-up centre to meet national standards, and implement an on-premise 9-1-1 communication system.",Fire Paramedic Service,Fire & Rescue Response,Project,5000000,1,5,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2024,,,N,3,,5000000,0,5000000,5000000,0,5000000
2024,New Southeast Winnipeg Regional Recreation & Aquatic Centre,"Capital investment is required for a new regional indoor aquatic and recreation centre to serve southeast Winnipeg. The facility will include multi-purpose program space, leisure pool and lap pool to service current demands and future growth in southeast Winnipeg.",Community Services,Recreation,Project,128932000,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,0,2024,Growth-supportive infrastructure,,N,6,3365125.2,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Nutrient Removal Facilities,The proposed project is the final phase of the NEWPCC (North End Sewage Treatment Plant) Upgrade. The Nutrient Removal Facilities project will address regulatory requirements regarding the new effluent limits for nitrogen and phosphorous. It will add mostly new facilities including new wet weather treatment capability and replace associated end-of-life equipment.,Water and Waste,Wastewater,Project,0,0,5,A Strong Economy,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2032,Growth-enabling infrastructure,,N,12,,,,,,,
2023,Edward Schreyer Parkway - Plessis to Chief Peguis Trail,text,Public Works,Roads - Regional,Project,101443000,0,5,Economic Prosperity,Growth,Grassie,Transcona,POINT (-97.02524274 49.920656),0,44837000,2028,Growth-supportive infrastructure,,,,,,,,,,
2024,Wheel Chair Securements - Retro fit,"This program will support the retro fit of wheelchair securements on existing buses purchased before 2021. Beginning in 2021 all new buses received will be equipped with wheelchair securements that will meet the Accessibility for Manitobans Act (AMA) regulations. The AMA is proposed provincial legislation which mandates accessibility regulations that are not elective and must be met. The transportation regulations themselves are currently in development, and are expected to be issued soon. This retrofit project, in addition to making the ride safer for all passengers including the most vulnerable, would allow customers to use both Winnipeg Transit Plus and conventional transit together to complete a trip. This approach is expected to provide more independence and flexibility for customers.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2028,,,N,5,,,,,,,
2024,Continuous Improvement and Innovation Program (Formerly Innovation Program),"The Innovation Program will enable the City to create innovative ideas, utilize innovative technologies and approaches to improve existing systems, tools, and processes to primarily reduce costs or increase revenue, improve service levels, and add new capabilities. This will enable the Director of Innovation & Technology to fulfill the mandate of driving innovation for the City of Winnipeg to be smarter, more efficient, and more effective in meeting the needs of a growing city.",Innovation and Technology,Contact Centre - 311,Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,597000,0,2030,,,N,1,,,,,,,
2024,CentrePort South (formerly Airport Area West) Water and Sewer Servicing,"This project includes the detailed design and construction of a water feeder main extension, a new sewer lift station and force main connection to the Inkster Interceptor, as well as land acquisition and administrative costs.",Water and Waste,Wastewater,Project,0,1,3,A Strong Economy,Growth,Saskatchewan North,St. James,POINT (-97.3003239167088 49.9242677773775),0,0,2027,Growth-enabling infrastructure,,N,14,,,,,,,
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2026,,,N,2,,,,,,,
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2028,,,N,2,,,,,,,
2023,Spray Pad Investment Fund,text,Community Services,Recreation,Program,20000000,0,,Good Health & Well-Being,Growth,,,,0,2400000,2032,,,,,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - Source Separated Organics,"The proposed project will implement a full source separated organics program. This includes construction of a high-rate forced-aerated composting facility, provision for the purchase and delivery of carts for a third waste stream, and program implementation.",Water and Waste,Recycling & Waste Diversion,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2032,,,N,1,,,,,,,
2024,Police Headquarters Information System Upgrades,"This evergreening initiative is to upgrade and replace time expired information system equipment for the centralized server, networking, backup and security hardware. The hardware supports department-wide information systems to maintain current levels of response.",Winnipeg Police Service,Police Services,Project,0,1,4,Corporate Management and Support,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),2822000,0,2031,,,N,2,,,,,,,
2024,Evidence Archive Building,Additional secure storage is required to house long term exhibits for sex crimes and murders. Maximum capacity is projected to be reached within the next 5 years.  Options for 20 years of additional capacity are being developed.,Winnipeg Police Service,Police Services,Project,0,0,4,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,1523000,2028,,,N,5,,,,,,,
2024,East of the Red RecPlex,"The proposed project involves the development of a 90,000-square-foot regional recreation and leisure facility, including a leisure pool, eight-lane swim tank, indoor track, fitness areas, gymnasium, and multi-purpose rooms, all attached to the new Transcona Library.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Regent,Transcona,POINT (-97.026639 49.901639),0,0,2032,Growth-supportive infrastructure,,N,3,,,,,,,
2023,Brady Road Resource Management Facility - Cell Construction,text,Water and Waste,Solid Waste,Program,10800000,1,,Environmental Resilience,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2031,,,,,,,,,,,
2024,Branch Aqueduct Condition Assessment and Rehabilitation,"The Branch I and II Aqueducts, along with the Branch Interconnection Aqueduct are specialized pipes which are unique in size, materials, construction techniques and failure modes. The Branch I Aqueduct was installed between 1914 to 1918 and the Branch II and Interconnection Aqueducts were installed between 1959 and 1963. All of these require specialized inspection, testing, and maintenance to preserve the asset.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2029,,,N,7,,,,,,,
2023,Arenas Capital Renewal Program,text,Assets and Project Management,Recreation,Program,77295000,0,,Leadership & Good Governance,Renew,,,,0,13450000,2027,,,,,,,,,,,
2024,Continuous Improvement and Innovation Program (Formerly Innovation Program),"The Innovation Program will enable the City to create innovative ideas, utilize innovative technologies and approaches to improve existing systems, tools, and processes to primarily reduce costs or increase revenue, improve service levels, and add new capabilities. This will enable the Director of Innovation & Technology to fulfill the mandate of driving innovation for the City of Winnipeg to be smarter, more efficient, and more effective in meeting the needs of a growing city.",Innovation and Technology,Contact Centre - 311,Program,0,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,521000,2025,,,N,1,,,,,,,
2023,Digital Evidence Management System,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,6260000,0,4,City Building,Renew,,,,0,0,2027,,,,,,,,,,,
2024,Wading Pool & Spray Pad Capital Renewal Program,"The wading pool and spray pad capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to wading pools and spray pads owned and operated by the City of Winnipeg. Projects may include deck and basin repairs, replacement of liners, renewal of play components and amenities, improvements to water circulation and filtration systems, mechanical, and electrical systems, accessibility improvements, and improvements to associated support buildings and site amenities including washrooms, change rooms, seating areas, secure bike, and parking areas.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,5392000,2029,,,N,18,,,,,,,
2024,Feeder Main Condition Assessment and Rehabilitation,"Feeder mains are specialized large diameter pipes used to convey drinking water throughout the City. The majority of feeder mains were installed in the 1960s and require inspection, testing, and maintenance to preserve the asset. Funds are for condition assessment and rehabilitation work, including structural assessments, inspections, purchase of testing equipment, replacement of valves and related components, structural repairs, valve chamber rehabilitation, and restoration works.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2033,,,N,8,,,,,,,
2024,City of Winnipeg Archives - The Winnipeg 150 Legacy Project,"Renovations at 380 William Avenue will create a space that meets the programming needs of today's City of Winnipeg Archives, including the legislated and fiduciary requirements for the long-term storage and preservation of archival records. The renovations will enable the framework outlined in “A Reconciliation Framework for Canadian Archives”, allowing the City to advance reconciliation efforts through governance, operations and organizational culture changes including fair representation, professional practice and relationship building.",City Clerks,Multiple Organizational Support Services,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2028,,,N,3,,,,,,,
